Accident_ID,State,Date,Time,Reason,Number_of_Deaths,Number_of_Injuries,Road_Type,Weather_Conditions,Alcohol_Involved,Driver_Fatigue,Road_Conditions,Speed_Limit
1258,Rajasthan,19-06-2022,07:45:00,Poor road conditions,1,1,Urban,Sunny,No,No,Fair,50
1259,Madhya Pradesh,21-06-2022,14:30:00,Driver fatigue,2,3,Rural,Sunny,No,Yes,Good,40
1260,Karnataka,24-06-2022,21:20:00,Speeding,1,2,Urban,Rainy,Yes,No,Poor,50
1261,Andhra Pradesh,01-05-2023,09:30:00,Speeding,2,3,Rural,Sunny,No,No,Poor,60
1262,Karnataka,02-05-2023,12:45:00,Drunk Driving,1,4,Urban,Rainy,Yes,No,Good,40
1263,Delhi,03-05-2023,08:15:00,Poor Road Conditions,0,2,Urban,Foggy,No,No,Poor,50
1264,Maharashtra,04-05-2023,10:00:00,Driver Fatigue,3,6,Rural,Sunny,No,Yes,Good,70
1265,Uttar Pradesh,05-05-2023,17:20:00,Speeding,1,2,Rural,Sunny,No,No,Fair,80
1266,Tamil Nadu,06-05-2023,11:00:00,Drunk Driving,0,1,Urban,Sunny,Yes,No,Good,30
1267,Rajasthan,07-05-2023,13:30:00,Poor Road Conditions,2,5,Rural,Rainy,No,No,Poor,60
1268,West Bengal,08-05-2023,07:00:00,Driver Fatigue,1,3,Urban,Sunny,No,Yes,Fair,50
1269,Gujarat,09-05-2023,16:30:00,Speeding,0,4,Rural,Sunny,No,No,Good,60
1270,Assam,10-05-2023,10:45:00,Poor Road Conditions,1,2,Urban,Foggy,No,No,Poor,40
1271,Bihar,11-05-2023,18:00:00,Driver Fatigue,3,6,Rural,Sunny,No,Yes,Fair,70
1272,Punjab,12-05-2023,05:15:00,Drunk Driving,2,4,Urban,Sunny,Yes,No,Good,30
1273,Haryana,13-05-2023,12:20:00,Speeding,1,3,Rural,Sunny,No,No,Fair,80
1274,Odisha,14-05-2023,15:00:00,Driver Fatigue,0,1,Urban,Rainy,No,Yes,Poor,50
1275,Madhya Pradesh,15-05-2023,08:30:00,Poor Road Conditions,2,5,Rural,Rainy,No,No,Poor,60
1276,Jharkhand,16-05-2023,13:15:00,Drunk Driving,1,2,Urban,Foggy,Yes,No,Good,40
1277,Chhattisgarh,17-05-2023,06:45:00,Driver Fatigue,3,6,Rural,Sunny,No,Yes,Fair,70
1278,Manipur,18-05-2023,18:30:00,Speeding,0,4,Rural,Sunny,No,No,Good,60
1279,Delhi,12-06-2023,07:15:00,Poor road conditions,1,5,Urban,Rainy,No,Yes,Poor,40
1280,West Bengal,08-05-2023,07:00:00,Driver Fatigue,1,3,Urban,Sunny,No,Yes,Fair,50
1281,Chhattisgarh,01-04-2022,09:15:00,Speeding,3,1,Urban,Sunny,Yes,No,Poor,60
1282,Maharashtra,02-04-2022,18:20:00,Drunk driving,2,2,Rural,Sunny,Yes,No,Fair,70
1283,Andhra Pradesh,03-04-2022,12:30:00,Speeding,1,4,Urban,Rainy,Yes,No,Good,80
1284,Odisha,04-04-2022,08:40:00,Driver fatigue,0,5,Rural,Foggy,No,Yes,Poor,40
1285,Telangana,05-04-2022,16:55:00,Poor road conditions,2,3,Urban,Sunny,No,No,Fair,60
1286,Kerala,06-04-2022,06:00:00,Speeding,1,1,Rural,Sunny,No,Yes,Fair,50
1287,Assam,07-04-2022,19:45:00,Driver fatigue,1,2,Urban,Rainy,No,Yes,Good,40
1288,Gujarat,08-04-2022,21:10:00,Poor road conditions,3,0,Urban,Snowy,No,No,Good,80
1289,Rajasthan,09-04-2022,15:30:00,Speeding,2,1,Rural,Sunny,Yes,No,Poor,60
1290,Karnataka,10-04-2022,08:15:00,Drunk driving,1,4,Rural,Sunny,Yes,No,Fair,70
1291,Andhra Pradesh,11-04-2022,12:00:00,Speeding,0,5,Urban,Sunny,No,No,Poor,50
1292,Tamil Nadu,12-04-2022,04:20:00,Driver fatigue,2,2,Urban,Rainy,Yes,No,Good,40
1293,Madhya Pradesh,13-04-2022,22:30:00,Poor road conditions,1,3,Rural,Sunny,No,Yes,Good,60
1294,Chhattisgarh,14-04-2022,10:45:00,Speeding,3,0,Rural,Sunny,Yes,No,Poor,50
1295,Maharashtra,15-04-2022,14:20:00,Driver fatigue,2,2,Urban,Foggy,Yes,No,Good,40
1296,Odisha,16-04-2022,16:30:00,Poor road conditions,1,1,Rural,Sunny,No,Yes,Fair,70
1297,Karnataka,17-04-2022,08:50:00,Speeding,0,4,Urban,Sunny,No,No,Fair,50
1298,Andhra Pradesh,18-04-2022,03:00:00,Driver fatigue,1,2,Rural,Sunny,No,Yes,Good,40
1299,Telangana,19-04-2022,20:10:00,Speeding,3,1,Rural,Snowy,Yes,No,Poor,60
1300,Kerala,20-04-2022,11:45:00,Drunk driving,2,2,Urban,Rainy,Yes,No,Poor,70
